ID,title,authors,year,venue,url,paper_or_abstract,system_scope,heterogeneity,resource_types,workload_type,task_dependencies,dynamic_workload,addresses_mapping,addresses_scheduling,mapping_scheduling,solver_class,specific_method,algorithm_strategy,hybrid_approach,makespan,utilization,energy,cost,load_balance,throughput,latency,deadline,reliability,security,single_multi_obj,assignment,capacity,feature,precedence,communication,max_tasks,max_resources,eval_type,benchmark,baselines,reproducible,extraction_source,confidence,abstract_length,abstract_preview
1,Workflow-Driven Modeling for the Compute Continuum: An Optimization Approach to Automated System and Workload Scheduling,"AK Sharma, C Boehme, P Gelß, R Yahyapour",2025.0,arXiv preprint arXiv …,https://arxiv.org/abs/2505.12184,paper,Hybrid,Hetero,"CPU,GPU,FPGA",Workflow/DAG,Y,Dynamic,Y,Y,Joint,Exact/Heuristic/Metaheuristic,"MILP, CP-SAT, HEFT, GA, ACO, SA, OLB","Constructive/Priority, Population-based, Learning-based, Mathematical, Quantum",Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Multi,Y,Y,Y,Y,Y,20,8,Simulation,"SPEC, STG",Unknown,Unknown,full-knowledge,high,165,The defined system and workload models enable analysis of workload mapping and  scheduling within heterogeneous HPC environments. Tasks in the queue request specific
2,Optimizing Heterogeneous High-Performance Computing Resource Allocation for Optimal Performance in Advanced Seismic Imaging Algorithms,"A Aldarwish, S Abulleif",2025.0,SPE Middle East Oil and Gas Show and …,https://onepetro.org/SPEMEOS/proceedings-abstract/25MEOS/25MEOS/789782,abstract,HPC,Hetero,CPU,Workflow/DAG,N,Unknown,Y,Y,Joint,Exact,Exact/MILP,Learning-based,N,,Y,,,,Y,Y,,,Y,Multi,,,,N,,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,title-only,low,178,This section presents the core resource allocation strategy developed to optimize workload  scheduling in heterogeneous HPC environments supporting seismic imaging workflows. The
3,"Evolving High-Performance Computing Data Centers with Kubernetes, Performance Analysis, and Dynamic Workload Placement Based on Machine Learning …","V Dakić, M Kovač, J Slovinac",2024.0,Electronics,https://www.mdpi.com/2079-9292/13/13/2651,paper,HPC,Hetero,Container,Batch/Container/DNN/Training/Workflow/DAG,N,Dynamic,Y,Y,Joint,ML/AI,ML,Learning-based,N,,Y,Y,Y,Y,,Y,Y,Y,Y,Multi,,Y,,N,Y,10.0,10.0,Experimental,SPEC,KUBERNETES,Unknown,full-text,high,1903,"In the past twenty years, the IT industry has moved away from using physical servers for workload management to workloads consolidated via virtualization and, in the next iteration, further consolidated into containers. Later, container workloads based on Docker and Podman were orchestrated via Kube"
4,Optimal task partitioning to minimize failure in heterogeneous computational platform,"DK Narayana, STS Babu",2025.0,International Journal of Electrical and …,https://www.academia.edu/download/120310525/96_35698_IJECE_12_Faizah.pdf,paper,HPC,Hetero,"CPU, GPU, VM",DNN/Training/Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact,Exact/MILP,"Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,Y,Y,Y,Y,,,Y,Y,,Single,,,,N,,Unknown,Unknown,Simulation/Trace-based,"CloudSim, CyberShake, SIPHT, SPEC",Unknown,Unknown,full-text,high,181,of workload scheduling techniques plays a critical role in achieving enhanced performance  on heterogeneous HPC  of limitations of existing workload scheduling methods. In section 3
5,Machine learning and dynamic parameters-based system architecture for automatic workload scheduling in heterogenous high-performance computing,V Dakić,2025.0,,https://dr.nsk.hr/object/fer:13461,paper,HPC,Hetero,"CPU, Container, FPGA, GPU",Batch/Container/DNN/Training,N,Dynamic,N,Y,Scheduling-only,ML/AI,ML,Learning-based,N,,Y,Y,Y,Y,,Y,,Y,,Multi,,,,N,Y,12.0,86.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,173,"Heterogeneous HPC can also employ different C ARM, and RISC -V. Integrating  In  summary, linear regression models have s workload scheduling, especially in workload plac of"
6,Scheduling algorithms on heterogeneous architecture for efficient vision systems,"T Ali, G Paul, R Nicol",2024.0,Applications of digital …,"https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13137/131370F/Scheduling-algorithms-on-heterogeneous-architecture-for-efficient-vision-systems/10.1117/12.3031278.short
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13137/131370F/Scheduling-algorithms-on-heterogeneous-architecture-for-efficient-vision-systems/10.1117/12.3031278.short",abstract,HPC,Hetero,"FPGA, GPU",Unknown,N,Unknown,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),Learning-based,N,,,Y,,,,,,Y,,Multi,,,,N,Y,Unknown,Unknown,Trace-based,SPEC,Unknown,Unknown,title-only,low,174,Another study addressed the problem of optimising data-parallel applications on  heterogeneous HPC platforms by proposing a modelbased partitioning algorithm that tackles the
7,Optimal workload scheduling algorithm for data-parallel applications on heterogeneous platforms based on dynamic programming,LL Pilla,2022.0,,https://inria.hal.science/hal-03776372/,paper,HPC,Hetero,Unknown,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact,Optimal scheduling,"Constructive/Priority, Population-based, Mathematical",N,Y,,Y,Y,Y,,,,,,Single,Y,,,N,,Unknown,Unknown,Trace-based,SPEC,Unknown,Unknown,full-text,high,182,"A novel data-partitioning algorithm for performance optimization of data-parallel applications  on heterogeneous hpc platforms. IEEE Transactions on Parallel and Distributed Systems,"
8,Microgrid Integration for High Performance Computing Schedulers and Reinforcement Learning-Based Scheduling,M Sgambati,2025.0,,https://search.proquest.com/openview/7bf9590debad376b9d44ab98905fe379/1?pq-origsite=gscholar&cbl=18750&diss=y,paper,HPC,Unknown,Unknown,Batch/Container/DNN/Training,N,Unknown,N,Y,Scheduling-only,ML/AI,RL,Learning-based,N,,Y,Y,Y,,Y,Y,,Y,,Single,,Y,,N,,10.0,1536.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,174,"Significant innovations in the field of High Performance Computing (HPC) have contributed  to application reproducibility and portability, enabled power-aware schedulers, and"
9,DASH: Scheduling deep learning workloads on multi-generational GPU-accelerated clusters,"B Li, T Patel, V Gadepally, K Gettings",2022.0,2022 IEEE High …,https://ieeexplore.ieee.org/abstract/document/9926390/,abstract,HPC,Hetero,GPU,Batch,N,Unknown,N,Y,Scheduling-only,ML/AI,DL,Learning-based,N,Y,,,,,,,,,Y,Multi,,,,N,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,partial-abstract,low,170,highend/low-end GPUs in a heterogeneous HPC system. DASH functions as depicted in  Fig to address deep learning workload scheduling challenges in heterogeneous tiered GPU
10,Thermal prediction for efficient energy management of clouds using machine learning,"S Ilager, K Ramamohanarao",2020.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9272657/,paper,Cloud/HPC,Hetero,"CPU, Container, FPGA, VM",Batch/Container,N,Dynamic,N,Y,Scheduling-only,ML/AI,ML,Learning-based,N,Y,Y,Y,Y,,,Y,Y,Y,Y,Single,,Y,,N,Y,Unknown,6320.0,Real-system/Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,178,We propose a dynamic workload scheduling algorithm guided by the prediction methods to  reduce the peak temperature of the data center that minimizes the total energy consumption
11,Joint Dynamic Data and Model Parallelism for Distributed Training of DNNs Over Heterogeneous Infrastructure,"Z Ling, X Jiang, X Tan, H He, S Zhu",2024.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/10767392/,paper,HPC,Hetero,"CPU, GPU",Batch/DNN/Training,N,Dynamic,N,Y,Scheduling-only,Heuristic,Pipeline/Dataflow,"Population-based, Learning-based, Mathematical",N,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Multi,,Y,,N,Y,8.0,8.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,180,"Lastovetsky, “Bi-objective optimization of data-parallel applications on heterogeneous  hpc  [24] LL Pilla, “Optimal workload scheduling algorithm for data-parallel applications on"
12,Enhanced multi-objective scheduling for heterogeneous computing platforms using hybrid MOEAD with SA and TS-guided initialization strategies,"A Saad, O Abdel-Raouf, M Hadhoud",2025.0,The Journal of …,https://link.springer.com/article/10.1007/s11227-025-07278-8,paper,Cloud/Edge/Fog/HPC/Hybrid,Hetero,"CPU, GPU",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,MOEA/D,Population-based,N,Y,Y,Y,Y,Y,,,Y,Y,,Single,Y,Y,,N,Y,62.0,853.0,Simulation/Trace-based,"CloudSim, Montage, SPEC",Unknown,Unknown,full-text,high,178,"[23] proposed a bi-objective optimization approach for workload scheduling in hybrid cloud  environments, considering both makespan and user service costs. Although there are two"
13,How to build a quantum supercomputer: Scaling from hundreds to millions of qubits,"M Mohseni, A Scherer, KG Johnson",2024.0,arXiv preprint arXiv …,https://arxiv.org/abs/2411.10406,paper,HPC,Hetero,"CPU, FPGA, GPU",Batch/Workflow/DAG,N,Unknown,N,N,Joint,ML/AI/Quantum,"ML, Quantum",Learning-based/Quantum,Y,,Y,Y,Y,Y,Y,Y,,Y,,Single,,,,N,Y,Unknown,Unknown,Simulation,SPEC,Unknown,Unknown,full-text,high,1632,"In the span of four decades, quantum computation has evolved from an intellectual curiosity to a potentially realizable technology. Today, small-scale demonstrations have become possible for quantum algorithmic primitives on hundreds of physical qubits. Nevertheless, there are significant outstandin"
14,ACO-Optimized DRL Model for Energy-Efficient Resource Allocation in High-Performance Computing,"A Jermanshiyamala, NKS Kumar, S Belhe",2024.0,… Conference on Multi …,https://link.springer.com/chapter/10.1007/978-981-97-1488-9_11,abstract,HPC,Unknown,Unknown,Unknown,N,Unknown,Y,N,Mapping-only,ML/AI,DRL,Learning-based,N,Y,,Y,,,,Y,,,Y,Single,,,,N,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,partial-abstract,low,174,"High-Performance Computing (HPC) is a pillar in today's computational science, efficiently  processing vast multi-dimensional datasets at staggering speeds. However, Resource"
15,IPPTS: An efficient algorithm for scientific workflow scheduling in heterogeneous computing systems,"H Djigal, J Feng, J Lu, J Ge",2020.0,IEEE transactions on parallel and …,https://ieeexplore.ieee.org/abstract/document/9276443/,paper,Cloud,Hetero,"CPU, GPU",Workflow/DAG,Y,Dynamic,N,Y,Scheduling-only,Heuristic,IPPTS (Improved Priority-based),"Constructive/Priority, Learning-based",N,Y,,Y,Y,,,,Y,Y,Y,Multi,,,,N,Y,2079.0,64.0,Simulation/Trace-based,"Epigenomics, Montage, Random DAG, Random Graph, SPEC, SimGrid",Unknown,Unknown,full-text,high,171,"Hence, heterogeneous computing systems have become  high-performance computing  environments at a low cost [3]. For instance, in [4], the authors presented a heterogeneous"
16,A novel workflow scheduling with multi-criteria using particle swarm optimization for heterogeneous computing systems,"T Biswas, P Kuila, AK Ray",2020.0,Cluster Computing,https://link.springer.com/article/10.1007/s10586-020-03085-3,paper,Cloud/HPC,Hetero,CPU,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,"GA, PSO",Population-based,N,Y,,Y,Y,Y,,,Y,Y,,Multi,,,,N,Y,100.0,3.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,172,"Recently, we have designed an improved GA based multi-criteria scheduling for high  performance computing systems [21]. Here, a novel mutation helps to minimize the overall"
17,Job scheduling in high performance computing,Y Fan,2021.0,arXiv preprint arXiv:2109.09269,https://arxiv.org/abs/2109.09269,paper,HPC,Hetero,"CPU, GPU",Batch,N,Unknown,N,Y,Scheduling-only,Heuristic,"FCFS, Backfilling, Flux, DRF","Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Multi,,,Y,N,,2021.0,Unknown,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,174,Workflow scheduling problem is known to be NP-complete in general. Scheduling  algorithms often utilize heuristics and optimization techniques to try to obtain a near optimal
18,An optimized workflow scheduling algorithm on CPU-GPU heterogeneous systems,"H Ma, J Fang",2021.0,Journal of Physics: Conference Series,https://iopscience.iop.org/article/10.1088/1742-6596/1994/1/012037/meta,paper,HPC,Hetero,"CPU,GPU",Workflow/DAG,Y,Dynamic,Y,Y,Joint,Heuristic,Modified HEFT,"Constructive/Priority, Population-based",N,Y,Y,Y,Y,Y,,,Y,,,Single,Y,,Y,N,Y,11480.0,3.0,Simulation/Trace-based,"Random DAG, Random Graph, SPEC",Unknown,Unknown,full-text,high,179,"the workflow scheduling problem on CPU-GPU heterogeneous systems, this article proposes  a workflow scheduling  in the field of high performance computing is basically composed of"
19,Level-wise earliest finish time based workflow scheduling for heterogeneous computing systems,"BB Naik, MSA Ansari",2025.0,Cluster Computing,https://link.springer.com/article/10.1007/s10586-025-05576-7,paper,Cloud/Edge/Fog/HPC,Hetero,CPU,Workflow/DAG,N,Dynamic,Y,Y,Joint,Heuristic,"CPOP, EFT, HEFT",Greedy,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Single,,Y,,N,Y,33.0,844.0,Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, Montage, Random Graph, SIPHT, SPEC","HEFT, CPOP",Unknown,full-text,high,182,The article is sectioned in a structured way as follows: we have presented related works on  workflow scheduling in a heterogeneous environment and a detailed discussion of HEFT [10]
20,An efficient list scheduling algorithm with task duplication for scientific big data workflow in heterogeneous computing environments,"W Ahmad, B Alam",2021.0,Concurrency and Computation: Practice …,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5987,abstract,Cloud/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,List-sched,Greedy,N,Y,,,Y,,,,Y,,Y,Multi,,,,N,,Unknown,Unknown,Simulation,"CyberShake, LIGO, Montage, Pegasus",Unknown,Unknown,partial-abstract,low,174,Heterogeneous computing environment plays a significant role in achieving high-performance  computing ( to resolve workflow scheduling problems in the heterogeneous computing
21,Cost-efficient workflow scheduling algorithm for applications with deadline constraint on heterogeneous clouds,"X Tang, W Cao, H Tang, T Deng, J Mei",2021.0,… on Parallel and …,https://ieeexplore.ieee.org/abstract/document/9647942/,paper,Cloud/Edge/Fog/HPC/Hybrid,Hetero,"CPU, VM",Workflow/DAG,Y,Dynamic,N,Y,Scheduling-only,Heuristic,Greedy,Greedy,N,Y,,,Y,Y,,,Y,Y,Y,Multi,Y,,Y,Y,Y,800.0,100.0,Simulation,"Cybershake, Ligo, Epigenomics, Synthetic",RANDOM,Unknown,full-text,high,1636,"In recent years, more and more large-scale data processing and computing workflow applications run on heterogeneous clouds. Such cloud applications with precedence-constrained tasks are usually deadline-constrained and their scheduling is an essential problem faced by cloud providers. Moreover, mini"
22,Time and energy optimization algorithms for the static scheduling of multiple workflows in heterogeneous computing system,"J Jiang, Y Lin, G Xie, L Fu, J Yang",2017.0,Journal of Grid Computing,https://link.springer.com/article/10.1007/s10723-017-9391-5,paper,Cloud/HPC,Hetero,CPU,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact,Exact/MILP,Constructive/Priority,N,Y,Y,Y,Y,Y,Y,,Y,Y,,Single,Y,,,N,Y,10.0,10.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,185,"For multiple workflow scheduling, the most related literature to the current work is the  scheduling of multiple workflows on computational grids, ie, the B&E scheme, by Bittencourt and"
23,Dynamic mapping of application workflows in heterogeneous computing environments,"M Qasim, T Iqbal, EU Munir, N Tziritas",2017.0,2017 IEEE …,https://ieeexplore.ieee.org/abstract/document/7965083/,paper,Cloud/HPC,Hetero,CPU,Workflow/DAG,N,Dynamic,Y,Y,Joint,Heuristic,Dynamic/Adaptive,"Constructive/Priority, Population-based",N,Y,Y,Y,Y,Y,,,Y,Y,Y,Multi,Y,,,N,Y,223.0,100.0,Real-system/Simulation/Trace-based,"Montage, Pegasus, Random Graph, SPEC",Unknown,Unknown,full-text,high,176,workflow scheduling algorithms in HCE is an NPComplete problem. A novel application  workflow scheduling algorithm called Heterogeneous  to achieve High-Performance Computing (
24,A comparative analysis of resource allocation schemes for real-time services in high-performance computing systems,"MS Qureshi, MB Qureshi, M Fayaz",2020.0,International …,https://journals.sagepub.com/doi/abs/10.1177/1550147720932750,paper,Cloud/Edge/Fog/HPC/Hybrid,Hetero,"CPU, Container, VM",Workflow/DAG,N,Dynamic,Y,Y,Joint,Exact/Heuristic/ML/AI/Metaheuristic/Quantum,"CloudSim, EFT, GA, HEFT, MCT, Max-Min, Min-Min, PSO, SPEA2, WorkflowSim","Constructive/Priority, Population-based, Learning-based, Mathematical, Quantum",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,Y,Y,Y,N,Y,4096.0,2048.0,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, Google Trace, Inspiral, LIGO, Montage, SIPHT, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,167,"or heterogeneous resources. Homogeneous resources have the same, while  proposed  BAT approach for the optimum solution of workflow scheduling. The workflow scheduling"
25,A hybrid bi-objective scheduling algorithm for execution of scientific workflows on cloud platforms with execution time and reliability approach,"Y Asghari Alaie, M Hosseini Shirvani",2023.0,The Journal of …,https://link.springer.com/article/10.1007/s11227-022-04703-0,paper,Cloud/HPC/Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,Multi-objective EA,"Constructive/Priority, Population-based, Mathematical",N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Multi,Y,Y,,N,Y,10.0,10.0,Simulation/Trace-based,"LIGO, Montage, SIPHT, SPEC",Unknown,Unknown,full-text,high,180,for execution on the heterogeneous parallel platforms to gain  are compatible with workflow  scheduling and make idempotent  workflow scheduling issue in cloud heterogeneous multi-
26,A two-stage multi-population genetic algorithm with heuristics for workflow scheduling in heterogeneous distributed computing environments,"Y Xie, FX Gui, WJ Wang",2021.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9662214/,paper,Grid,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,GA,Population-based,N,Y,,Y,Y,Y,,,Y,Y,,Multi,Y,,,N,Y,1000.0,Unknown,Real-system,"LIGO, Montage, Pegasus, SPEC, STG",Unknown,Unknown,full-text,high,179,"These workflow applications are compute-intensive or data-intensive that can be deployed  in a high-performance computing environment/system (eg, cluster computing, grid computing"
27,Bi-objective workflow scheduling on heterogeneous computing systems using a memetic algorithm,"Y Zhang, F Tong, C Li, Y Xu",2021.0,Electronics,https://www.mdpi.com/2079-9292/10/2/209,paper,Cloud/HPC,Hetero,CPU,Workflow/DAG,N,Dynamic,Y,Y,Joint,Heuristic/Metaheuristic,"EFT, GA, MA, NSGA-II",Greedy/Population-based,Y,Y,,Y,,,,,Y,Y,,Multi,,,,N,Y,10.0,730.0,Real-system,SPEC,"RANDOM, NSGA-II",Unknown,full-text,high,1368,"Due to the high power bills and the negative environmental impacts, workflow scheduling with energy consciousness has been an emerging need for modern heterogeneous computing systems. A number of approaches have been developed to find suboptimal schedules through heuristics by means of slack reclama"
28,Resource Aware Task Clustering for Scientific Workflow Execution in High Performance Computing Environments,"A Weerasinghe, K Wijethunga",2020.0,… High Performance …,https://ieeexplore.ieee.org/abstract/document/9408034/,paper,HPC,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,N,Joint,Heuristic,Clustering/Partitioning,"Constructive/Priority, Population-based",N,Y,Y,,Y,,,,Y,Y,Y,Multi,,,,N,Y,1000.0,180.0,Simulation/Trace-based,"CyberShake, LIGO, Montage, SPEC",Unknown,Unknown,full-text,high,1426,"Scientific workflows are widely used in High Performance Computing environments to carry out complex sets of interrelated calculations. As executing tasks in a workflow in the form of individual jobs substantially increase the makespan of the workflow, tasks are grouped into several clusters before "
29,Deep Reinforcement Learning-Based Continuous Workflows Scheduling in Heterogeneous Environments,"Z Wang, W Zhan, H Duan, G Min",2025.0,IEEE Internet of Things …,https://ieeexplore.ieee.org/abstract/document/10820029/,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, GPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI,"DRL, RL",Learning-based,N,Y,Y,,Y,Y,Y,Y,,Y,Y,Multi,Y,,,N,Y,2025.0,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,184,"in adaptability within heterogeneous settings, leading to  for continuous workflow scheduling  in heterogeneous environments effectively in continuous workflow scheduling scenarios and"
30,Efficient task and workflow scheduling in inter-cloud environments: Challenges and opportunities.,"M Masdari, M Zangakani",2020.0,Journal of Supercomputing,https://www.researchgate.net/profile/Mohammad-Masdari-2/publication/336774459_Efficient_task_and_workflow_scheduling_in_inter-cloud_environments_challenges_and_opportunities/links/5dbd45f0299bf1a47b0ab434/Efficient-task-and-workflow-scheduling-in-inter-cloud-environments-challenges-and-opportunities.pdf,paper,Cloud/HPC/Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Priority,Greedy,N,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Multi,,Y,,N,Y,1024.0,Unknown,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, Inspiral, LIGO, Montage, SIPHT, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,182,"In [49], the authors provided a priority-based two-phase workflow scheduling algorithm for  heterogeneous multi-cloud systems that can deal with large workflows. It considers factors"
31,DFMan: A graph-based optimization of dataflow scheduling on high-performance computing systems,"F Chowdhury, F Di Natale, A Moody",2022.0,2022 IEEE …,https://ieeexplore.ieee.org/abstract/document/9820699/,paper,HPC,Hetero,"CPU, GPU",Workflow/DAG,Y,Unknown,N,Y,Scheduling-only,Heuristic,DFMan (Dataflow Manager),"Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,Y,,,Y,,Y,Y,Y,,Multi,Y,,,N,Y,4096.0,44.0,Simulation/Trace-based,"Montage, Pegasus, SPEC",Unknown,Unknown,full-text,high,178,Scientific research and development campaigns are materialized by workflows of applications  executing on high-performance computing (HPC) systems. These applications con-sist of
32,Workflow scheduling algorithms and approaches,"G Kousalya, P Balakrishnan, C Pethuru Raj",2017.0,… Workflow Scheduling in Self …,https://link.springer.com/chapter/10.1007/978-3-319-56982-6_4,abstract,Cloud/HPC,Hetero,Unknown,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Population-based, Learning-based",N,,,,Y,,Y,,Y,Y,,Single,,,,N,,Unknown,Unknown,Trace-based,SPEC,Unknown,Unknown,title-only,low,169,across the globe comprising heterogeneous cloud platforms and  automated solutions  for workflow scheduling and also  Many high-performance computing and high-throughput
33,Energy-deadline optimization with minimal task failure aware task partitioning model in heterogeneous cloud computing framework,"KN Divyaprabha, TSB Sudarshan",2025.0,Computers and Electrical Engineering,https://www.sciencedirect.com/science/article/pii/S0045790625003817,abstract,Hybrid,Hetero,GPU,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,Multi-obj,Unknown,N,,,,,,,,Y,Y,,Multi,,,,N,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,title+abstract,low,183,"(GPU) will be used in high-performance computing (HPC) to  is a challenging task since  heterogeneous cloud computing ( ), multi-objective prioritized workflow scheduling through deep"
34,A time and reliability optimization algorithm for workflow scheduling in heterogeneous distributed computing system,"J Jiang, H Cai, L Xie, Z Sun, L Pan",2022.0,Journal of Circuits …,https://www.worldscientific.com/doi/abs/10.1142/S0218126622502528,abstract,Unknown,Hetero,CPU,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Exact,Exact/MILP,Unknown,N,Y,,,,,,,,Y,Y,Single,,,,N,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,title-only,low,183,"has allowed for constructing powerful and complex heterogeneous microprocessors systems.At  the  Therefore, it is a meaningful research for high reliability in heterogeneous computing"
35,Energy efficient scheduling of scientific workflows in cloud environment,"M Ghose, P Verma, S Karmakar",2017.0,… Performance Computing …,https://ieeexplore.ieee.org/abstract/document/8291925/,paper,Cloud/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,EFT,Greedy,N,Y,,Y,Y,,,,Y,,,Multi,,,,N,Y,Unknown,80.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,187,"an algorithm called, scalable heterogeneous earliest finish time  efficient list-based workflow  scheduling algorithm, called  in the cloud system are heterogeneous and their base power ("
36,A Multiobjective Memetic Algorithm for Workflow Scheduling on Heterogeneous Computing Systems,"C Zou, M Shi, X Liu",2021.0,… Int Conf on High Performance Computing …,https://ieeexplore.ieee.org/abstract/document/9781163/,paper,Cloud/HPC,Hetero,CPU,Workflow/DAG,N,Static,N,Y,Scheduling-only,Metaheuristic,MA,Population-based,N,Y,Y,Y,,,,,Y,Y,,Multi,,,,N,Y,Unknown,Unknown,Real-system/Simulation/Trace-based,"Random DAG, SPEC",Unknown,Unknown,full-text,high,177,"In this paper, we study workflow scheduling with the goal of simultaneously optimizing the  makespan and energy consumption on DVFS-enabled HCSs as a multiobjective optimization"
37,Resource Scheduling Algorithm for Heterogeneous High-Performance Clusters,L Han,2022.0,China Intelligent Networked Things Conference,https://link.springer.com/chapter/10.1007/978-981-19-8915-5_27,abstract,Cloud/HPC,Hetero,Unknown,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based, Learning-based",N,,,,,Y,,,,Y,,Multi,,,,N,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,title-only,low,179,aggregated in a high-performance computing environment.  -dimensional intelligent  heterogeneous resource scheduling  A task backfill based scientific workflow scheduling strategy
38,MPEFT: a makespan minimizing heuristic scheduling algorithm for workflows in heterogeneous computing systems,"D Sirisha, SS Prasad",2023.0,CCF Transactions on High Performance Computing,https://link.springer.com/article/10.1007/s42514-022-00116-w,paper,Cloud/Edge/Fog/HPC,Hetero,CPU,Workflow/DAG,Y,Static,N,Y,Scheduling-only,Heuristic,MPEFT,"Constructive/Priority, Population-based",N,Y,Y,,Y,Y,,Y,Y,Y,,Single,,,,N,Y,500.0,3.0,Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, LIGO, Montage, SPEC",Unknown,Unknown,full-text,high,178,"2, workflow scheduling problem and essential terminology is detailed. The related work is   2 The workflow scheduling problem The workflow scheduling system comprises of workflow"
39,Scheduling algorithms for high-performance computing: An application perspective of fog computing,"S Razzaq, A Wahid, F Khan, N Amin, MA Shah",2019.0,Recent Trends and …,https://link.springer.com/chapter/10.1007/978-3-319-99966-1_10,abstract,Edge,Unknown,Unknown,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),Learning-based,N,Y,Y,,Y,Y,Y,Y,,,,Single,,,,N,,Unknown,Unknown,Trace-based,SPEC,Unknown,Unknown,title-only,low,181,Authors proposed workflow scheduling algorithm to efficiently minimize both execution time   are dominant in operational cost of high-performance computing to manage workloads [23].
